Store Name,Store Location,Address,City,State,Zip Code,Latitude,Longitude,County
Crystal,SWC Broadway & Bass Lake Rd,5537 W Broadway Ave,Crystal,MN,55428-3507,45.0521539,-93.364854,Hennepin County
Duluth,SEC Hwy 53 & Burning Tree Rd,1902 Miller Trunk Hwy,Duluth,MN,55811-1810,46.808614,-92.1681479,St Louis County
Bloomington,NWC 80th & Penn,2555 W 79th St,Bloomington,MN,55431-1250,44.8595041,-93.3112747,Hennepin County
Bridgeton,NEC St Charles Rock Rd & Natural Brd,12275 St Charles Rock Rd,Bridgeton,MO,63044-2502,38.7539909,-90.4258019,St Louis County
North Dallas,NWC LBJ Fwy & Montfort Dr,13131 Montfort Dr,Dallas,TX,75240-5112,32.9279597,-96.8135362,Dallas County
Tulsa,NEC Yale Ave & 21st St,1701 S Yale Ave,Tulsa,OK,74112-6221,36.1375535,-95.9200047,Tulsa County
Greenfield,SWC Layton Ave & 27th Ave,4777 S 27th St,Greenfield,WI,53221-2601,42.9568702,-87.9518737,Milwaukee County
Ballwin,NWC Manchester & Holloway Rds,15025 Manchester Rd,Ballwin,MO,63011-4626,38.5949713,-90.5470919,St Louis County
Oklahoma City North,NEC NW 50th & N May Ave,5400 N May Ave,Oklahoma City,OK,73112-5407,35.5242645,-97.5639463,Oklahoma County
Arvada,SWC Wadsworth & W 80th,7899 Wadsworth Blvd,Arvada,CO,80003-2107,39.8402253,-105.0819275,Jefferson County
Lake Street,NEC Hwy 55 & Lake St,2500 E Lake St,Minneapolis,MN,55406-1909,44.949411,-93.2370545,Hennepin County
Medallion,SEC NW Hwy & Skillman Ave,6464 E NORTHWEST HWY STE 212,Dallas,TX,75214-7802,32.8570196,-96.7531347,Dallas County
Fargo,SEC 13th Ave S & 43rd St,4202 13th Ave SW,Fargo,ND,58103-3308,46.8600424,-96.8523177,Cass County
Boulder,SEC 28th & Pearl,2800 Pearl St,Boulder,CO,80301-1123,40.0216678,-105.2560641,Boulder County
Plano,SWC W Parker Rd & Hwy 75,120 W Parker Rd,Plano,TX,75075-2331,33.0369452,-96.7078013,Collin County
East St Paul,SWC I-94 & White Bear Ave,1744 Suburban Ave,Saint Paul,MN,55106-6619,44.9498979,-93.0289915,Ramsey County
